sku;country;stock;last_update
D038897WW00;0;FR;2021-01-19 9:44:38
D039010WW00;0;FR;2021-01-19 9:44:38
D039073WW00;0;FR;2021-01-19 9:44:38
D039364WW00;0;FR;2021-01-19 9:44:38
D039418WW00;0;FR;2021-01-19 9:44:38
D039924WW00;0;FR;2021-01-19 9:44:38
D039927WW00;0;FR;2021-01-19 9:44:38
D039983WW00;0;FR;2021-01-19 9:44:38
D040005WW00;0;FR;2021-01-19 9:44:38
D040007WW00;0;FR;2021-01-19 9:44:38
D040083WW00;0;FR;2021-01-19 9:44:38
D040087WW00;0;FR;2021-01-19 9:44:38
D040089WW00;0;FR;2021-01-19 9:44:38
D040108WW00;0;FR;2021-01-19 9:44:38
D040112WW00;0;FR;2021-01-19 9:44:38
D040131WW00;0;FR;2021-01-19 9:44:38
D040133WW00;0;FR;2021-01-19 9:44:38
D040135WW00;0;FR;2021-01-19 9:44:38
D040137WW00;0;FR;2021-01-19 9:44:38
D040144WW00;0;FR;2021-01-19 9:44:38
D040169WW00;0;FR;2021-01-19 9:44:38
D040183WW00;0;FR;2021-01-19 9:44:38
D040185WW00;0;FR;2021-01-19 9:44:38
D040192WW00;0;FR;2021-01-19 9:44:38
D040193WW00;0;FR;2021-01-19 9:44:38
D040194WW00;0;FR;2021-01-19 9:44:38
D040224WW00;0;FR;2021-01-19 9:44:38
D040225WW00;0;FR;2021-01-19 9:44:38
D040226WW00;0;FR;2021-01-19 9:44:38
D040232WW00;0;FR;2021-01-19 9:44:38
D040233WW00;0;FR;2021-01-19 9:44:38
D040234WW00;0;FR;2021-01-19 9:44:38
D040242WW00;0;FR;2021-01-19 9:44:38
D040243WW00;0;FR;2021-01-19 9:44:38
D040244WW00;0;FR;2021-01-19 9:44:38
D040245WW00;0;FR;2021-01-19 9:44:38
D040246WW00;0;FR;2021-01-19 9:44:38
D040247WW00;0;FR;2021-01-19 9:44:38
D040248WW00;0;FR;2021-01-19 9:44:38
D040249WW00;0;FR;2021-01-19 9:44:38
D040250WW00;0;FR;2021-01-19 9:44:38
D040253WW00;0;FR;2021-01-19 9:44:38
D040254WW00;0;FR;2021-01-19 9:44:38
D040255WW00;0;FR;2021-01-19 9:44:38
D040256WW00;0;FR;2021-01-19 9:44:38
D040257WW00;0;FR;2021-01-19 9:44:38
D040258WW00;0;FR;2021-01-19 9:44:38
D040267WW00;0;FR;2021-01-19 9:44:38
D040269WW00;0;FR;2021-01-19 9:44:38
D040270WW00;0;FR;2021-01-19 9:44:38
D040272WW00;0;FR;2021-01-19 9:44:38
D040287WW00;0;FR;2021-01-19 9:44:38
D040310WW00;0;FR;2021-01-19 9:44:38
D040311WW00;0;FR;2021-01-19 9:44:38
D040312WW00;0;FR;2021-01-19 9:44:38
D040321WW00;0;FR;2021-01-19 9:44:38
D040357WW00;0;FR;2021-01-19 9:44:38
D040360WW00;0;FR;2021-01-19 9:44:38
D040548WW00;0;FR;2021-01-19 9:44:38
D040556WW00;0;FR;2021-01-19 9:44:38
D040562WW00;0;FR;2021-01-19 9:44:38
D040566WW00;0;FR;2021-01-19 9:44:38
D040634WW00;0;FR;2021-01-19 9:44:38
D041035WW00;0;FR;2021-01-19 9:44:38
D041046WW00;0;FR;2021-01-19 9:44:38
D041047WW00;0;FR;2021-01-19 9:44:38
D041063WW00;0;FR;2021-01-19 9:44:38
D041064WW00;0;FR;2021-01-19 9:44:38
D041140WW00;0;FR;2021-01-19 9:44:38
D041146WW00;0;FR;2021-01-19 9:44:38
D041153WW00;0;FR;2021-01-19 9:44:38
D041159WW00;0;FR;2021-01-19 9:44:38
D041173WW00;0;FR;2021-01-19 9:44:38
D041259WW00;0;FR;2021-01-19 9:44:38
D041263WW00;0;FR;2021-01-19 9:44:38
D041264WW00;0;FR;2021-01-19 9:44:38
D041265WW00;0;FR;2021-01-19 9:44:38
D041268WW00;0;FR;2021-01-19 9:44:38
D041269WW00;0;FR;2021-01-19 9:44:38
D041272WW00;0;FR;2021-01-19 9:44:38
D041274WW00;0;FR;2021-01-19 9:44:38
D041275WW00;0;FR;2021-01-19 9:44:38
D041276WW00;0;FR;2021-01-19 9:44:38
D041279WW00;0;FR;2021-01-19 9:44:38
D041280WW00;0;FR;2021-01-19 9:44:38
D041281WW00;0;FR;2021-01-19 9:44:38
D041285WW00;0;FR;2021-01-19 9:44:38
D041312WW00;0;FR;2021-01-19 9:44:38
D041313WW00;0;FR;2021-01-19 9:44:38
D041406WW00;0;FR;2021-01-19 9:44:38
D041415WW00;0;FR;2021-01-19 9:44:38
D041416WW00;0;FR;2021-01-19 9:44:38
D041418WW00;0;FR;2021-01-19 9:44:38
D041420WW00;0;FR;2021-01-19 9:44:38
D041559WW00;0;FR;2021-01-19 9:44:38
D041653WW00;0;FR;2021-01-19 9:44:38
D041669WW00;0;FR;2021-01-19 9:44:38
D041678WW00;0;FR;2021-01-19 9:44:38
D041683WW00;0;FR;2021-01-19 9:44:38
D041686WW00;0;FR;2021-01-19 9:44:38
D041687WW00;0;FR;2021-01-19 9:44:38
D041688WW00;0;FR;2021-01-19 9:44:38
D041700WW00;0;FR;2021-01-19 9:44:38
D041701WW00;0;FR;2021-01-19 9:44:38
D041702WW00;0;FR;2021-01-19 9:44:38
D041703WW00;0;FR;2021-01-19 9:44:38
D041706WW00;0;FR;2021-01-19 9:44:38
D041707WW00;0;FR;2021-01-19 9:44:38
D041731WW00;0;FR;2021-01-19 9:44:38
D041732WW00;0;FR;2021-01-19 9:44:38
D041733WW00;0;FR;2021-01-19 9:44:38
D041735WW00;0;FR;2021-01-19 9:44:38
D041736WW00;0;FR;2021-01-19 9:44:38
D041739WW00;0;FR;2021-01-19 9:44:38
D041743WW00;0;FR;2021-01-19 9:44:38
D041748WW00;0;FR;2021-01-19 9:44:38
D041753WW00;0;FR;2021-01-19 9:44:38
D041755WW00;0;FR;2021-01-19 9:44:38
D041759WW00;0;FR;2021-01-19 9:44:38
D041760WW00;0;FR;2021-01-19 9:44:38
D041761WW00;0;FR;2021-01-19 9:44:38
D041762WW00;0;FR;2021-01-19 9:44:38
D041765WW00;0;FR;2021-01-19 9:44:38
D041767WW00;0;FR;2021-01-19 9:44:38
D041768WW00;0;FR;2021-01-19 9:44:38
D041769WW00;0;FR;2021-01-19 9:44:38
D041770WW00;0;FR;2021-01-19 9:44:38
D041864WW00;0;FR;2021-01-19 9:44:38
D041882WW00;0;FR;2021-01-19 9:44:38
D041883WW00;0;FR;2021-01-19 9:44:38
D041884WW00;0;FR;2021-01-19 9:44:38
D041885WW00;0;FR;2021-01-19 9:44:38
D041886WW00;0;FR;2021-01-19 9:44:38
D041889WW00;0;FR;2021-01-19 9:44:38
D042129WW00;0;FR;2021-01-19 9:44:38
D042130WW00;0;FR;2021-01-19 9:44:38
D042131WW00;0;FR;2021-01-19 9:44:38
D042132WW00;0;FR;2021-01-19 9:44:38
D042133WW00;0;FR;2021-01-19 9:44:38
D042136WW00;0;FR;2021-01-19 9:44:38
D042199WW00;0;FR;2021-01-19 9:44:38
D042200WW00;0;FR;2021-01-19 9:44:38
D042201WW00;0;FR;2021-01-19 9:44:38
D042202WW00;0;FR;2021-01-19 9:44:38
D042203WW00;0;FR;2021-01-19 9:44:38
D042204WW00;0;FR;2021-01-19 9:44:38
D042205WW00;0;FR;2021-01-19 9:44:38
D042206WW00;0;FR;2021-01-19 9:44:38
D042207WW00;0;FR;2021-01-19 9:44:38
D042208WW00;0;FR;2021-01-19 9:44:38
D042349WW00;0;FR;2021-01-19 9:44:38
