sku;country;stock_flat;stock_atomic;last_update_flat;last_update_atomic;publication_status_atomic;publication_status_flat
H001570S 29;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 30;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001570S 31;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 18;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 19;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 20;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 21;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 22;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 23;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 24;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 25;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 26;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001624S 27;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001632S 21;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001632S 22;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001632S 23;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001657S;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001701S 18;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001701S 20;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001701S 33;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001719S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001719S 06;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001719S 08;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001719S 11;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001876S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001876S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001876S 20;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001876S 23;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001935S 03;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001935S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001935S 11;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001935S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001935S 14;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 22;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 23;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 24;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 25;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 26;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 27;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 28;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 29;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 30;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002079S 31;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002163Z;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002195S 02;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002195S 05;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002195S 06;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 02;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 04;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 06;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 08;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 10;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 12;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 14;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002207S 15;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
